DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.261582,0,16.667,90.0,100.0,180.0,22.224,44.448,85.0,2.709,0.0,17.706,85.22,6.358,8.585,172.0,0.0,0.0,1008.602
-0.261582,1,15.556,93.0,99.0,180.0,18.52,38.892,82.0,2.709,0.0,17.795,86.288,4.411,6.501,175.0,0.0,0.0,1008.664
-0.261582,2,15.0,93.0,99.0,180.0,16.668,33.336,79.0,2.709,0.0,16.874,90.288,3.038,4.316,163.0,0.0,3.406,1008.657
-0.261582,3,14.444,93.0,98.0,190.0,12.964,27.78,75.0,1.355,0.0,13.464,93.966,0.926,1.558,26.0,0.0,8.812,1008.1
-0.261582,4,13.889,93.0,96.0,230.0,11.112,25.928,72.0,1.355,0.0,13.173,95.763,0.128,0.336,88.0,0.0,5.366,1008.58
-0.261582,5,13.333,93.0,93.0,280.0,11.112,24.076,69.0,1.355,0.0,13.049,96.661,0.261,0.55,84.0,0.0,4.481,1009.095
-0.261582,6,13.333,90.0,91.0,300.0,11.112,22.224,50.0,1.355,0.0,12.821,97.0,0.401,0.764,301.0,0.0,3.242,1009.609
-0.261582,7,13.333,93.0,89.0,320.0,9.26,16.668,47.0,1.355,0.0,12.556,97.017,0.134,0.214,64.0,0.0,2.297,1008.841
-0.261582,8,12.778,86.0,88.0,290.0,9.26,18.52,34.0,1.355,0.0,12.404,97.831,0.384,0.642,312.0,0.0,0.223,1008.375
-0.261582,9,12.778,86.0,86.0,300.0,11.112,22.224,31.0,0.042,0.0,12.206,98.0,0.572,0.886,325.0,0.0,0.0,1009.555
-0.261582,10,13.333,83.0,86.0,310.0,12.964,25.928,31.0,0.042,0.0,11.962,97.847,1.151,1.863,268.0,0.0,0.0,1010.183
-0.261582,11,13.333,80.0,87.0,310.0,16.668,29.632,31.0,0.042,0.0,11.776,92.085,3.508,5.018,294.0,0.102,0.0,1010.631
-0.261582,12,13.889,75.0,87.0,320.0,16.668,35.188,31.0,0.042,0.0,11.816,77.203,5.246,7.586,267.0,1.458,0.0,1011.472
-0.261582,13,12.778,74.0,85.0,330.0,22.224,38.892,27.0,0.042,0.0,12.833,66.458,6.371,9.073,265.0,3.763,0.0,1011.594
-0.261582,14,12.778,69.0,82.0,330.0,24.076,40.744,23.0,0.042,0.0,14.659,61.525,5.857,8.38,271.0,4.441,0.0,1011.719
-0.261582,15,12.222,66.0,80.0,330.0,24.076,40.744,19.0,0.0,0.0,14.976,60.746,6.395,9.165,268.0,4.119,0.0,1011.274
-0.261582,16,11.667,64.0,76.0,330.0,24.076,40.744,14.0,0.0,0.0,14.24,62.966,6.333,9.36,284.0,3.119,0.0,1011.017
-0.261582,17,11.111,61.0,71.0,330.0,24.076,40.744,10.0,0.0,0.0,12.467,65.136,5.686,8.519,281.0,1.186,0.0,1011.576
-0.261582,18,10.0,61.0,67.0,330.0,24.076,40.744,5.0,0.0,0.0,11.24,62.017,6.492,9.806,267.0,1.61,0.0,1012.326
-0.261582,19,8.889,60.0,58.0,330.0,24.076,40.744,4.0,0.0,0.0,10.953,57.949,7.249,10.872,288.0,1.525,0.0,1012.838
-0.261582,20,7.778,65.0,50.0,330.0,22.224,37.04,1.0,0.0,0.0,9.944,58.322,4.827,7.524,319.0,0.22,0.0,1013.602
-0.261582,21,8.333,63.0,41.0,330.0,20.372,33.336,0.0,0.0,0.0,7.573,61.831,5.357,8.616,316.0,0.0,0.0,1014.299
-0.261582,22,7.222,65.0,36.0,330.0,20.372,33.336,0.0,0.0,0.0,5.725,65.068,5.193,8.481,329.0,0.0,0.0,1015.092
-0.261582,23,6.111,65.0,31.0,330.0,18.52,31.484,0.0,0.0,0.0,4.681,66.814,4.924,7.627,307.0,0.0,0.0,1015.561
-0.261582,24,5.0,67.0,26.0,330.0,18.52,31.484,0.0,0.0,0.0,4.042,68.051,4.454,6.683,319.0,0.0,0.0,1016.267
-0.261582,25,4.444,67.0,25.0,330.0,18.52,31.484,0.0,0.0,0.0,3.121,66.559,3.403,5.367,340.0,0.0,0.0,1016.823
-0.261582,26,3.333,70.0,23.0,330.0,16.668,29.632,0.0,0.0,0.0,1.958,63.898,4.193,6.58,334.0,0.0,0.0,1017.336
-0.261582,27,2.778,70.0,22.0,330.0,16.668,29.632,0.0,0.0,0.0,1.202,65.169,2.8,4.408,336.0,0.0,0.0,1017.627
-0.261582,28,2.778,67.0,19.0,330.0,16.668,29.632,0.0,0.0,0.0,0.736,66.017,3.85,6.153,313.0,0.0,0.0,1017.567
-0.261582,29,2.222,64.0,15.0,330.0,16.668,27.78,0.0,0.0,0.0,0.466,66.339,4.491,6.726,306.0,0.0,0.0,1017.495
-0.261582,30,2.222,61.0,12.0,330.0,16.668,27.78,0.0,0.0,0.0,0.199,67.153,2.269,3.792,339.0,0.0,0.0,1017.309
-0.261582,31,2.222,61.0,10.0,330.0,16.668,27.78,0.0,0.0,0.0,0.023,67.644,1.915,3.108,351.0,0.0,0.0,1017.75
-0.261582,32,2.222,61.0,9.0,330.0,16.668,27.78,0.0,0.0,0.0,0.009,67.102,2.049,3.188,330.0,0.0,0.0,1018.928
-0.261582,33,2.222,61.0,7.0,330.0,16.668,27.78,0.0,0.0,0.0,0.199,65.525,3.233,4.896,300.0,0.0,0.0,1019.577
