DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.90203,0,2.778,56.0,96.0,200.0,31.484,40.744,33.0,0.169,0.0,4.166,51.678,4.668,6.988,176.0,0.0,0.0,1009.621
-0.90203,1,3.333,57.0,97.0,200.0,33.336,42.596,42.0,0.169,0.0,3.876,57.322,4.693,7.134,174.0,0.0,0.0,1008.394
-0.90203,2,3.333,59.0,98.0,200.0,33.336,42.596,52.0,0.169,0.0,4.363,53.763,5.395,8.098,172.0,0.0,0.0,1007.221
-0.90203,3,2.222,67.0,97.0,210.0,35.188,44.448,61.0,0.169,0.0,4.046,57.729,3.117,4.494,172.0,0.0,0.0,1006.076
-0.90203,4,2.222,72.0,98.0,210.0,33.336,42.596,55.0,0.169,0.0,4.39,60.627,5.863,8.39,193.0,0.0,0.0,1005.527
-0.90203,5,2.778,70.0,97.0,210.0,33.336,42.596,48.0,0.127,0.0,1.927,86.119,3.796,5.647,184.0,0.0,1.15,1004.799
-0.90203,6,2.778,70.0,93.0,210.0,33.336,42.596,41.0,0.127,0.0,2.125,86.492,2.001,2.931,157.0,0.0,0.202,1002.73
-0.90203,7,3.333,67.0,90.0,210.0,35.188,44.448,41.0,0.127,0.0,3.294,77.61,1.401,2.455,158.0,0.0,0.0,1001.201
-0.90203,8,3.333,67.0,87.0,210.0,35.188,46.3,40.0,0.127,0.0,3.324,76.322,0.401,0.917,126.0,0.0,0.0,999.999
-0.90203,9,3.333,67.0,83.0,220.0,37.04,48.152,40.0,0.127,0.0,3.906,67.932,1.799,2.724,162.0,0.0,0.0,998.478
-0.90203,10,3.333,73.0,82.0,230.0,38.892,57.412,41.0,0.127,0.0,4.84,60.746,3.565,4.854,181.0,0.0,0.0,998.043
-0.90203,11,2.778,75.0,86.0,240.0,40.744,66.672,42.0,0.085,0.0,3.639,75.22,5.198,7.647,228.0,0.0,0.0,1000.02
-0.90203,12,2.222,72.0,77.0,260.0,44.448,75.932,43.0,0.085,0.0,2.658,82.508,2.49,3.671,208.0,0.0,0.0,999.925
-0.90203,13,1.667,61.0,60.0,280.0,46.3,77.784,32.0,0.085,0.0,2.886,81.068,2.873,4.141,210.0,0.0,0.0,1000.037
-0.90203,14,1.667,49.0,49.0,270.0,46.3,79.636,21.0,0.085,0.0,3.833,71.373,5.613,8.184,221.0,0.0,0.0,1000.245
-0.90203,15,2.222,43.0,47.0,280.0,46.3,79.636,9.0,0.085,0.0,4.236,60.881,8.073,11.177,241.0,0.797,0.0,1000.618
-0.90203,16,1.667,45.0,50.0,270.0,44.448,77.784,7.0,0.085,0.0,2.962,49.034,11.763,17.895,253.0,1.085,0.0,1001.977
-0.90203,17,1.667,41.0,52.0,270.0,44.448,74.08,4.0,0.0,0.0,2.691,43.017,11.282,16.857,257.0,1.322,0.0,1002.815
-0.90203,18,1.667,41.0,42.0,280.0,44.448,75.932,2.0,0.0,0.0,1.754,46.0,12.032,18.213,252.0,0.983,0.0,1003.531
-0.90203,19,1.667,43.0,28.0,280.0,44.448,75.932,2.0,0.0,0.0,1.524,48.153,11.264,17.143,250.0,0.61,0.0,1004.376
-0.90203,20,1.111,43.0,19.0,280.0,42.596,72.228,1.0,0.0,0.0,1.892,46.746,8.957,12.868,260.0,0.0,0.0,1005.665
-0.90203,21,1.111,43.0,14.0,280.0,38.892,68.524,1.0,0.0,0.0,1.279,47.644,10.439,15.516,262.0,0.0,0.0,1007.145
-0.90203,22,0.0,47.0,8.0,280.0,37.04,64.82,1.0,0.0,0.0,0.554,48.746,10.068,14.88,260.0,0.0,0.0,1008.79
-0.90203,23,0.0,49.0,8.0,270.0,35.188,59.264,0.0,0.0,0.0,-0.268,49.627,8.989,13.263,242.0,0.0,0.0,1010.468
-0.90203,24,-0.556,53.0,8.0,280.0,37.04,61.116,0.0,0.0,0.0,-0.761,48.593,8.415,12.458,259.0,0.0,0.0,1011.305
-0.90203,25,-0.556,56.0,11.0,280.0,35.188,61.116,0.0,0.0,0.0,-1.068,47.881,7.932,12.264,255.0,0.0,0.0,1011.716
-0.90203,26,-0.556,58.0,16.0,280.0,35.188,59.264,0.0,0.0,0.0,-1.395,49.915,6.432,9.646,252.0,0.0,0.0,1012.245
-0.90203,27,-0.556,61.0,17.0,280.0,35.188,57.412,0.0,0.0,0.0,-1.751,53.203,6.272,9.379,255.0,0.0,0.0,1012.796
-0.90203,28,-0.556,61.0,18.0,280.0,33.336,55.56,0.0,0.0,0.0,-2.068,56.254,4.297,6.336,254.0,0.0,0.0,1012.838
-0.90203,29,-1.111,66.0,20.0,280.0,29.632,50.004,0.0,0.0,0.0,-2.137,57.588,4.903,7.359,237.0,0.0,0.0,1012.891
-0.90203,30,-1.111,63.0,22.0,280.0,29.632,51.856,0.0,0.0,0.0,,,,,,,,
-0.90203,31,-1.111,63.0,24.0,290.0,31.484,51.856,0.0,0.0,0.0,,,,,,,,
-0.90203,32,-1.667,66.0,25.0,290.0,31.484,51.856,0.0,0.0,0.0,,,,,,,,
-0.90203,33,-1.667,60.0,23.0,290.0,29.632,51.856,0.0,0.0,0.0,,,,,,,,
-0.90203,34,-1.667,58.0,22.0,300.0,25.928,44.448,0.0,0.0,0.0,,,,,,,,
-0.90203,35,-2.222,58.0,12.0,300.0,22.224,40.744,0.0,0.0,0.0,,,,,,,,
-0.90203,36,-1.667,53.0,11.0,300.0,22.224,42.596,0.0,0.0,0.0,,,,,,,,
-0.90203,37,-0.556,49.0,11.0,300.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.90203,38,0.0,45.0,11.0,310.0,24.076,42.596,0.0,0.0,0.0,,,,,,,,
-0.90203,39,0.556,41.0,13.0,310.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.90203,40,1.111,38.0,14.0,310.0,24.076,44.448,0.0,0.0,0.0,,,,,,,,
-0.90203,41,1.667,36.0,16.0,300.0,24.076,44.448,1.0,0.0,0.0,,,,,,,,
-0.90203,42,1.667,36.0,19.0,300.0,22.224,42.596,1.0,0.0,0.0,,,,,,,,
-0.90203,43,1.667,38.0,22.0,300.0,20.372,38.892,1.0,0.0,0.0,,,,,,,,
-0.90203,44,1.111,39.0,27.0,300.0,20.372,35.188,1.0,0.0,0.0,,,,,,,,
-0.90203,45,0.556,43.0,34.0,300.0,16.668,29.632,1.0,0.0,0.0,,,,,,,,
-0.90203,46,0.0,47.0,42.0,290.0,14.816,25.928,1.0,0.0,0.0,,,,,,,,
-0.90203,47,-1.111,51.0,47.0,280.0,11.112,20.372,1.0,0.0,0.0,,,,,,,,
-0.902339,0,3.333,57.0,97.0,200.0,33.336,42.596,42.0,0.169,0.0,3.876,57.322,4.693,7.134,174.0,0.0,0.0,1008.394
-0.902339,1,3.333,59.0,98.0,200.0,33.336,42.596,52.0,0.169,0.0,4.363,53.763,5.395,8.098,172.0,0.0,0.0,1007.221
