DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.971257,0,7.778,96.0,100.0,180.0,11.112,16.668,46.0,0.72,0.0,7.722,98.0,0.81,1.283,129.0,0.0,0.0,1024.391
-0.971257,1,7.778,96.0,100.0,180.0,12.964,18.52,69.0,0.72,0.0,7.74,98.0,0.767,1.283,160.0,0.0,0.306,1024.19
-0.971257,2,7.778,96.0,100.0,190.0,14.816,22.224,92.0,0.72,0.0,7.782,98.0,0.498,0.978,161.0,0.0,0.284,1023.249
-0.971257,3,8.333,96.0,100.0,190.0,16.668,25.928,100.0,0.72,0.0,7.962,98.932,1.414,2.169,165.0,0.0,2.093,1022.436
-0.971257,4,8.333,96.0,100.0,190.0,20.372,29.632,100.0,0.72,0.0,8.34,99.0,1.842,2.755,165.0,0.0,0.0,1021.594
-0.971257,5,8.889,96.0,100.0,200.0,22.224,33.336,87.0,0.085,0.0,9.08,99.0,3.337,4.959,170.0,0.0,0.864,1020.701
-0.971257,6,9.444,96.0,98.0,200.0,22.224,35.188,70.0,0.085,0.0,9.634,98.644,4.699,6.378,180.0,0.0,0.306,1020.079
-0.971257,7,10.0,93.0,97.0,210.0,22.224,37.04,52.0,0.085,0.0,9.754,98.0,4.717,6.33,182.0,0.0,0.0,1019.896
-0.971257,8,10.0,96.0,95.0,210.0,24.076,38.892,35.0,0.085,0.0,10.064,98.0,4.539,6.281,183.0,0.0,0.0,1019.887
-0.971257,9,10.0,96.0,94.0,220.0,22.224,37.04,26.0,0.085,0.0,10.249,98.0,3.862,5.281,181.0,0.0,0.0,1019.414
-0.971257,10,10.556,93.0,94.0,220.0,20.372,35.188,18.0,0.085,0.0,10.321,98.0,3.209,4.543,192.0,0.0,0.0,1019.279
-0.971257,11,10.556,93.0,94.0,230.0,20.372,33.336,9.0,0.0,0.0,10.225,98.0,2.794,3.805,235.0,0.0,0.0,1019.827
-0.971257,12,10.556,96.0,90.0,230.0,18.52,31.484,8.0,0.0,0.0,10.181,98.0,2.861,4.178,187.0,0.0,0.0,1019.891
-0.971257,13,11.111,93.0,88.0,240.0,18.52,29.632,6.0,0.0,0.0,10.255,97.169,1.895,2.907,197.0,0.0,0.0,1020.533
-0.971257,14,11.667,89.0,84.0,250.0,18.52,33.336,5.0,0.0,0.0,10.534,96.881,1.664,2.664,211.0,0.0,0.0,1021.169
-0.971257,15,12.778,83.0,71.0,260.0,18.52,35.188,4.0,0.0,0.0,11.046,94.678,2.446,3.512,204.0,0.085,0.0,1021.615
-0.971257,16,13.333,77.0,63.0,270.0,18.52,37.04,3.0,0.0,0.0,11.8,90.949,2.903,4.001,236.0,1.0,0.0,1021.67
-0.971257,17,13.889,72.0,47.0,280.0,18.52,37.04,2.0,0.0,0.0,12.735,86.712,2.91,3.885,229.0,1.0,0.0,1021.32
-0.971257,18,13.889,69.0,30.0,280.0,18.52,33.336,2.0,0.0,0.0,13.778,79.898,3.692,5.299,250.0,0.831,0.0,1021.079
-0.971257,19,13.889,64.0,22.0,280.0,16.668,27.78,1.0,0.0,0.0,14.158,73.508,3.93,5.549,272.0,0.203,0.0,1020.828
-0.971257,20,12.778,64.0,20.0,280.0,14.816,24.076,1.0,0.0,0.0,14.492,62.712,3.727,5.464,254.0,0.0,0.0,1020.711
-0.971257,21,11.667,64.0,19.0,280.0,12.964,20.372,1.0,0.0,0.0,13.789,59.508,2.819,3.933,263.0,0.0,0.0,1021.17
-0.971257,22,10.556,66.0,18.0,280.0,11.112,16.668,0.0,0.0,0.0,11.7,63.39,0.146,0.306,277.0,0.0,0.0,1022.069
-0.971257,23,9.444,68.0,17.0,270.0,9.26,14.816,0.0,0.0,0.0,8.887,76.898,0.042,0.183,337.0,0.0,0.0,1022.819
-0.971257,24,8.333,71.0,6.0,280.0,9.26,14.816,0.0,0.0,0.0,6.999,84.339,0.0,0.0,350.0,0.0,0.0,1023.654
-0.971257,25,7.778,73.0,8.0,290.0,7.408,12.964,0.0,0.0,0.0,6.181,87.051,0.024,0.061,350.0,0.0,0.0,1024.033
-0.971257,26,7.222,76.0,17.0,290.0,7.408,12.964,1.0,0.0,0.0,5.386,89.458,0.006,0.031,349.0,0.0,0.0,1024.321
-0.971257,27,6.111,79.0,5.0,300.0,7.408,11.112,1.0,0.0,0.0,6.063,81.864,0.14,0.275,353.0,0.0,0.0,1024.672
-0.971257,28,5.556,79.0,9.0,300.0,7.408,11.112,1.0,0.0,0.0,6.639,73.695,0.553,1.222,333.0,0.0,0.0,1024.824
-0.971257,29,5.0,79.0,23.0,310.0,5.556,11.112,1.0,0.0,0.0,6.683,69.746,0.127,0.244,189.0,0.0,0.0,1024.796
-0.971257,30,4.444,82.0,23.0,310.0,5.556,9.26,1.0,0.0,0.0,6.879,64.983,0.395,0.917,330.0,0.0,0.0,1024.477
-0.971257,31,3.889,82.0,23.0,310.0,5.556,7.408,1.0,0.0,0.0,5.294,72.966,0.018,0.061,351.0,0.0,0.0,1024.871
-0.971257,32,3.333,85.0,23.0,320.0,3.704,5.556,1.0,0.0,0.0,3.202,84.119,0.024,0.061,352.0,0.0,0.0,1025.261
-0.971257,33,2.778,85.0,23.0,320.0,3.704,5.556,1.0,0.0,0.0,1.87,89.593,0.036,0.122,353.0,0.0,0.0,1025.242
-0.971257,34,2.778,85.0,22.0,330.0,3.704,3.704,1.0,0.0,0.0,0.982,92.864,0.0,0.0,354.0,0.0,0.0,1025.395
-0.971257,35,2.222,89.0,22.0,330.0,3.704,3.704,10.0,0.0,0.0,0.646,94.102,0.0,0.0,355.0,0.0,0.0,1025.53
-0.971257,36,3.333,82.0,26.0,10.0,1.852,3.704,10.0,0.0,0.0,0.075,95.508,0.0,0.0,355.0,0.0,0.0,1025.68
-0.971257,37,4.444,82.0,29.0,120.0,1.852,3.704,10.0,0.0,0.0,0.475,96.305,0.0,0.0,355.0,0.0,0.0,1025.397
-0.971257,38,5.556,79.0,33.0,140.0,3.704,7.408,11.0,0.0,0.0,5.125,83.441,0.109,0.214,10.0,0.119,0.0,1025.044
-0.971257,39,6.667,76.0,42.0,150.0,5.556,9.26,11.0,0.0,0.0,9.755,60.983,0.835,1.405,145.0,0.847,0.0,1025.013
-0.971257,40,7.778,73.0,51.0,150.0,7.408,12.964,11.0,0.0,0.0,10.8,57.39,1.207,2.016,138.0,0.915,0.0,1023.946
-0.971257,41,8.889,71.0,60.0,150.0,7.408,14.816,62.0,1.185,0.0,11.75,54.831,1.847,2.811,154.0,1.22,0.0,1021.985
-0.971257,42,8.889,74.0,71.0,140.0,7.408,14.816,62.0,1.185,0.0,12.608,50.373,1.554,2.443,135.0,1.085,0.0,1020.302
-0.971257,43,8.889,77.0,81.0,130.0,9.26,14.816,62.0,1.185,0.0,12.62,50.22,1.115,2.047,128.0,0.288,0.0,1018.672
-0.971257,44,8.889,80.0,92.0,130.0,9.26,14.816,65.0,1.185,0.0,12.307,53.407,0.669,1.405,122.0,0.0,0.0,1017.297
-0.971257,45,8.889,83.0,91.0,140.0,9.26,16.668,65.0,1.185,0.0,12.062,56.186,0.474,0.978,120.0,0.0,0.0,1016.304
-0.971257,46,8.333,89.0,90.0,150.0,11.112,16.668,65.0,1.185,0.0,11.842,56.186,0.499,1.069,135.0,0.0,0.0,1015.674
-0.971257,47,8.333,89.0,89.0,170.0,9.26,16.668,89.0,0.931,0.0,11.105,68.525,1.244,1.807,133.0,0.0,0.192,1015.469
-0.971766,0,8.889,93.0,100.0,190.0,16.668,25.928,100.0,0.72,0.0,7.962,98.932,1.414,2.169,165.0,0.0,2.093,1022.436
-0.971766,1,8.889,93.0,100.0,190.0,20.372,29.632,100.0,0.72,0.0,8.34,99.0,1.842,2.755,165.0,0.0,0.0,1021.594
-0.971766,2,8.889,96.0,100.0,200.0,22.224,33.336,87.0,0.085,0.0,9.08,99.0,3.337,4.959,170.0,0.0,0.864,1020.701
-0.971766,3,9.444,96.0,98.0,200.0,22.224,35.188,70.0,0.085,0.0,9.634,98.644,4.699,6.378,180.0,0.0,0.306,1020.079
-0.971766,4,10.0,93.0,97.0,210.0,22.224,37.04,52.0,0.085,0.0,9.754,98.0,4.717,6.33,182.0,0.0,0.0,1019.896
-0.971766,5,10.0,96.0,95.0,210.0,24.076,38.892,35.0,0.085,0.0,10.064,98.0,4.539,6.281,183.0,0.0,0.0,1019.887
-0.971766,6,10.0,96.0,94.0,220.0,22.224,37.04,26.0,0.085,0.0,10.249,98.0,3.862,5.281,181.0,0.0,0.0,1019.414
-0.971766,7,10.556,93.0,94.0,220.0,20.372,35.188,18.0,0.085,0.0,10.321,98.0,3.209,4.543,192.0,0.0,0.0,1019.279
-0.971766,8,10.556,93.0,94.0,230.0,20.372,33.336,9.0,0.0,0.0,10.225,98.0,2.794,3.805,235.0,0.0,0.0,1019.827
-0.971766,9,10.556,96.0,90.0,230.0,18.52,31.484,8.0,0.0,0.0,10.181,98.0,2.861,4.178,187.0,0.0,0.0,1019.891
-0.971766,10,11.111,93.0,88.0,240.0,18.52,29.632,6.0,0.0,0.0,10.255,97.169,1.895,2.907,197.0,0.0,0.0,1020.533
-0.971766,11,11.667,89.0,84.0,250.0,18.52,33.336,5.0,0.0,0.0,10.534,96.881,1.664,2.664,211.0,0.0,0.0,1021.169
-0.971766,12,12.778,83.0,71.0,260.0,18.52,35.188,4.0,0.0,0.0,11.046,94.678,2.446,3.512,204.0,0.085,0.0,1021.615
-0.971766,13,13.333,77.0,63.0,270.0,18.52,37.04,3.0,0.0,0.0,11.8,90.949,2.903,4.001,236.0,1.0,0.0,1021.67
-0.971766,14,13.889,72.0,47.0,280.0,18.52,37.04,2.0,0.0,0.0,12.735,86.712,2.91,3.885,229.0,1.0,0.0,1021.32
