DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.88668,0,0.0,61.0,47.0,290.0,7.408,18.52,3.0,0.0,0.0,0.244,59.39,0.475,0.855,267.0,0.0,0.0,1020.442
-0.88668,1,-0.556,63.0,44.0,290.0,7.408,18.52,2.0,0.0,0.0,-0.701,63.915,0.103,0.306,279.0,0.0,0.0,1020.516
-0.88668,2,-0.556,66.0,13.0,290.0,9.26,18.52,2.0,0.0,0.0,-0.417,64.847,0.994,1.619,274.0,0.0,0.0,1020.745
-0.88668,3,-1.111,69.0,12.0,290.0,9.26,18.52,2.0,0.0,0.0,-0.423,64.661,1.207,2.082,274.0,0.0,0.0,1020.774
-0.88668,4,-1.667,72.0,13.0,290.0,7.408,18.52,1.0,0.0,0.0,0.403,60.559,3.893,5.512,269.0,0.0,0.0,1020.861
-0.88668,5,-2.222,75.0,14.0,290.0,7.408,18.52,1.0,0.0,0.0,-0.218,61.864,2.28,3.311,269.0,0.0,0.0,1020.978
-0.88668,6,-2.222,75.0,11.0,300.0,7.408,18.52,1.0,0.0,0.0,-0.415,62.949,2.421,3.774,259.0,0.0,0.0,1020.921
-0.88668,7,-2.222,71.0,11.0,300.0,7.408,16.668,1.0,0.0,0.0,-0.374,63.017,2.397,3.591,267.0,0.0,0.0,1021.188
-0.88668,8,-2.222,75.0,11.0,300.0,7.408,18.52,1.0,0.0,0.0,-0.44,63.525,2.574,3.737,269.0,0.0,0.0,1021.48
-0.88668,9,-2.222,75.0,10.0,300.0,9.26,14.816,1.0,0.0,0.0,-0.879,64.966,2.538,3.768,267.0,0.0,0.0,1021.369
-0.88668,10,-2.222,75.0,12.0,300.0,9.26,14.816,1.0,0.0,0.0,-1.359,67.017,2.007,3.182,282.0,0.0,0.0,1021.697
-0.88668,11,-3.333,85.0,11.0,300.0,7.408,16.668,1.0,0.0,0.0,-1.66,68.136,1.988,2.999,278.0,0.0,0.0,1021.977
