DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.934194,0,8.889,93.0,95.0,160.0,11.112,27.78,92.0,0.423,0.0,,,,,,,,
-0.934194,1,8.333,96.0,94.0,200.0,11.112,25.928,84.0,0.423,0.0,,,,,,,,
-0.934194,2,8.333,96.0,93.0,220.0,11.112,25.928,76.0,0.423,0.0,,,,,,,,
-0.934194,3,8.333,96.0,88.0,220.0,11.112,20.372,55.0,0.423,0.0,,,,,,,,
-0.934194,4,7.778,96.0,84.0,220.0,9.26,18.52,34.0,0.423,0.0,,,,,,,,
-0.934194,5,7.778,100.0,77.0,220.0,7.408,14.816,13.0,0.0,0.0,6.903,94.083,0.0,0.0,169.0,0.0,0.0,1013.515
-0.934194,6,8.333,96.0,78.0,230.0,7.408,14.816,12.0,0.0,0.0,5.886,95.288,0.0,0.0,169.0,0.0,0.0,1014.255
-0.934194,7,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,5.008,96.0,0.0,0.0,169.0,0.0,0.0,1014.93
-0.934194,8,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,4.606,96.424,0.0,0.0,169.0,0.0,0.0,1015.323
-0.934194,9,8.333,96.0,79.0,220.0,5.556,11.112,9.0,0.0,0.0,4.976,97.0,0.0,0.0,169.0,0.0,0.0,1015.273
-0.934194,10,7.778,100.0,81.0,220.0,5.556,12.964,8.0,0.0,0.0,4.483,97.0,0.0,0.0,169.0,0.0,0.0,1015.385
-0.934194,11,7.778,96.0,85.0,210.0,5.556,12.964,6.0,0.0,0.0,4.18,97.0,0.006,0.031,118.0,0.0,0.0,1015.801
-0.934194,12,7.222,100.0,85.0,220.0,5.556,11.112,6.0,0.0,0.0,4.04,97.0,0.0,0.0,100.0,0.0,0.0,1016.017
-0.934194,13,7.222,100.0,88.0,210.0,3.704,7.408,6.0,0.0,0.0,4.886,97.39,0.0,0.0,98.0,0.0,0.0,1016.296
-0.934194,14,7.222,100.0,89.0,200.0,3.704,5.556,6.0,0.0,0.0,5.49,97.966,0.012,0.061,95.0,0.0,0.0,1016.556
-0.934194,15,7.222,96.0,88.0,170.0,3.704,5.556,8.0,0.0,0.0,6.35,98.0,0.0,0.0,87.0,0.0,0.0,1016.194
-0.934194,16,6.667,100.0,87.0,140.0,3.704,5.556,10.0,0.0,0.0,6.547,98.0,0.006,0.031,87.0,0.0,0.0,1016.355
-0.934194,17,7.222,96.0,88.0,130.0,3.704,7.408,11.0,0.0,0.0,6.858,98.0,0.025,0.061,60.0,0.0,0.0,1017.023
-0.934194,18,7.778,96.0,88.0,110.0,3.704,7.408,11.0,0.0,0.0,6.889,98.0,0.006,0.031,47.0,0.0,0.275,1017.603
-0.934194,19,8.333,93.0,88.0,120.0,5.556,9.26,11.0,0.0,0.0,7.011,98.0,0.012,0.061,67.0,0.0,0.031,1018.26
-0.934194,20,8.889,93.0,88.0,130.0,5.556,11.112,11.0,0.0,0.0,7.525,98.0,0.036,0.092,69.0,0.0,0.0,1018.747
-0.934194,21,10.0,89.0,87.0,130.0,7.408,12.964,17.0,0.0,0.0,8.454,98.0,0.298,0.519,98.0,0.186,0.0,1018.869
-0.934194,22,10.556,86.0,84.0,130.0,7.408,14.816,24.0,0.0,0.0,9.464,97.983,0.298,0.58,64.0,0.339,0.0,1018.176
-0.934194,23,11.667,83.0,83.0,140.0,9.26,16.668,30.0,0.085,0.0,9.679,96.407,0.176,0.55,62.0,0.017,0.0,1017.385
-0.934194,24,12.222,80.0,80.0,140.0,9.26,16.668,35.0,0.085,0.0,10.222,94.831,0.28,0.733,69.0,0.0,0.0,1016.742
-0.934194,25,12.222,80.0,77.0,140.0,9.26,16.668,40.0,0.085,0.0,10.894,92.508,0.401,0.825,54.0,0.0,0.0,1016.314
-0.934194,26,12.222,83.0,81.0,140.0,9.26,16.668,45.0,0.085,0.0,11.379,91.237,0.103,0.275,23.0,0.0,0.0,1015.859
-0.934194,27,11.667,86.0,87.0,150.0,9.26,16.668,54.0,0.085,0.0,11.266,91.644,0.17,0.397,38.0,0.0,0.0,1015.423
-0.934194,28,11.667,89.0,94.0,150.0,9.26,16.668,74.0,0.085,0.0,10.94,91.729,0.316,0.764,62.0,0.0,0.0,1015.474
-0.934194,29,11.667,86.0,100.0,160.0,9.26,16.668,100.0,0.847,0.0,11.5,89.169,1.414,2.554,121.0,0.0,0.0,1015.082
-0.934194,30,11.667,86.0,82.0,160.0,11.112,18.52,100.0,0.847,0.0,11.179,92.492,0.712,1.405,103.0,0.0,0.0,1014.689
-0.934194,31,11.667,89.0,85.0,160.0,11.112,20.372,100.0,0.847,0.0,10.962,95.542,0.164,0.458,106.0,0.0,1.32,1014.913
-0.934194,32,12.222,86.0,88.0,150.0,11.112,20.372,98.0,0.847,0.0,10.889,97.0,0.121,0.367,110.0,0.0,0.336,1014.762
-0.934194,33,12.222,90.0,92.0,150.0,11.112,20.372,98.0,0.847,0.0,10.957,97.712,0.036,0.153,96.0,0.0,0.0,1013.881
-0.934194,34,12.778,90.0,95.0,150.0,11.112,22.224,98.0,0.847,0.0,11.096,98.0,0.055,0.092,58.0,0.0,1.249,1013.046
-0.934194,35,13.333,86.0,97.0,150.0,12.964,22.224,100.0,2.117,0.0,11.265,98.0,0.107,0.3,83.0,0.0,3.44,1012.25
-0.934194,36,13.889,90.0,98.0,160.0,14.816,25.928,100.0,2.117,0.0,,,,,,,,
-0.934194,37,14.444,90.0,98.0,170.0,18.52,27.78,100.0,2.117,0.0,,,,,,,,
-0.934194,38,15.0,90.0,98.0,180.0,20.372,31.484,100.0,2.117,0.0,,,,,,,,
-0.934194,39,15.0,90.0,98.0,180.0,22.224,31.484,100.0,2.117,0.0,,,,,,,,
-0.934194,40,15.556,90.0,98.0,180.0,22.224,35.188,100.0,2.117,0.0,,,,,,,,
-0.934194,41,15.0,93.0,98.0,180.0,22.224,35.188,100.0,2.201,0.0,,,,,,,,
-0.934194,42,15.556,93.0,95.0,180.0,22.224,35.188,100.0,2.201,0.0,,,,,,,,
-0.934194,43,16.111,90.0,93.0,190.0,22.224,35.188,100.0,2.201,0.0,,,,,,,,
-0.934194,44,16.667,90.0,91.0,190.0,20.372,35.188,100.0,2.201,0.0,,,,,,,,
-0.934194,45,16.667,93.0,92.0,190.0,18.52,35.188,100.0,2.201,0.0,,,,,,,,
-0.934194,46,16.111,97.0,94.0,200.0,18.52,33.336,100.0,2.201,0.0,,,,,,,,
-0.934194,47,16.111,97.0,96.0,200.0,18.52,33.336,100.0,3.471,0.0,,,,,,,,
-0.934704,0,8.333,96.0,93.0,220.0,11.112,25.928,76.0,0.423,0.0,,,,,,,,
-0.934704,1,8.333,96.0,88.0,220.0,11.112,20.372,55.0,0.423,0.0,,,,,,,,
-0.934704,2,7.778,96.0,84.0,220.0,9.26,18.52,34.0,0.423,0.0,,,,,,,,
-0.934704,3,7.778,100.0,77.0,220.0,7.408,14.816,13.0,0.0,0.0,6.903,94.083,0.0,0.0,169.0,0.0,0.0,1013.515
-0.934704,4,8.333,96.0,78.0,230.0,7.408,14.816,12.0,0.0,0.0,5.886,95.288,0.0,0.0,169.0,0.0,0.0,1014.255
-0.934704,5,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,5.008,96.0,0.0,0.0,169.0,0.0,0.0,1014.93
-0.934704,6,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,4.606,96.424,0.0,0.0,169.0,0.0,0.0,1015.323
-0.934704,7,8.333,96.0,79.0,220.0,5.556,11.112,9.0,0.0,0.0,4.976,97.0,0.0,0.0,169.0,0.0,0.0,1015.273
-0.934704,8,7.778,100.0,81.0,220.0,5.556,12.964,8.0,0.0,0.0,4.483,97.0,0.0,0.0,169.0,0.0,0.0,1015.385
-0.934704,9,7.778,96.0,85.0,210.0,5.556,12.964,6.0,0.0,0.0,4.18,97.0,0.006,0.031,118.0,0.0,0.0,1015.801
-0.934704,10,7.222,100.0,85.0,220.0,5.556,11.112,6.0,0.0,0.0,4.04,97.0,0.0,0.0,100.0,0.0,0.0,1016.017
-0.934704,11,7.222,100.0,88.0,210.0,3.704,7.408,6.0,0.0,0.0,4.886,97.39,0.0,0.0,98.0,0.0,0.0,1016.296
-0.934704,12,7.222,100.0,89.0,200.0,3.704,5.556,6.0,0.0,0.0,5.49,97.966,0.012,0.061,95.0,0.0,0.0,1016.556
-0.934704,13,7.222,96.0,88.0,170.0,3.704,5.556,8.0,0.0,0.0,6.35,98.0,0.0,0.0,87.0,0.0,0.0,1016.194
-0.934704,14,6.667,100.0,87.0,140.0,3.704,5.556,10.0,0.0,0.0,6.547,98.0,0.006,0.031,87.0,0.0,0.0,1016.355
-0.934704,15,7.222,96.0,88.0,130.0,3.704,7.408,11.0,0.0,0.0,6.858,98.0,0.025,0.061,60.0,0.0,0.0,1017.023
-0.934704,16,7.778,96.0,88.0,110.0,3.704,7.408,11.0,0.0,0.0,6.889,98.0,0.006,0.031,47.0,0.0,0.275,1017.603
-0.934704,17,8.333,93.0,88.0,120.0,5.556,9.26,11.0,0.0,0.0,7.011,98.0,0.012,0.061,67.0,0.0,0.031,1018.26
-0.934704,18,8.889,93.0,88.0,130.0,5.556,11.112,11.0,0.0,0.0,7.525,98.0,0.036,0.092,69.0,0.0,0.0,1018.747
-0.934704,19,10.0,89.0,87.0,130.0,7.408,12.964,17.0,0.0,0.0,8.454,98.0,0.298,0.519,98.0,0.186,0.0,1018.869
-0.934704,20,10.556,86.0,84.0,130.0,7.408,14.816,24.0,0.0,0.0,9.464,97.983,0.298,0.58,64.0,0.339,0.0,1018.176
-0.934704,21,11.667,83.0,83.0,140.0,9.26,16.668,30.0,0.085,0.0,9.679,96.407,0.176,0.55,62.0,0.017,0.0,1017.385
-0.934704,22,12.222,80.0,80.0,140.0,9.26,16.668,35.0,0.085,0.0,10.222,94.831,0.28,0.733,69.0,0.0,0.0,1016.742
-0.934704,23,12.222,80.0,77.0,140.0,9.26,16.668,40.0,0.085,0.0,10.894,92.508,0.401,0.825,54.0,0.0,0.0,1016.314
-0.934704,24,12.222,83.0,81.0,140.0,9.26,16.668,45.0,0.085,0.0,11.379,91.237,0.103,0.275,23.0,0.0,0.0,1015.859
-0.934704,25,11.667,86.0,87.0,150.0,9.26,16.668,54.0,0.085,0.0,11.266,91.644,0.17,0.397,38.0,0.0,0.0,1015.423
-0.934704,26,11.667,89.0,94.0,150.0,9.26,16.668,74.0,0.085,0.0,10.94,91.729,0.316,0.764,62.0,0.0,0.0,1015.474
-0.934704,27,10.556,96.0,100.0,140.0,9.26,12.964,100.0,1.058,0.0,11.5,89.169,1.414,2.554,121.0,0.0,0.0,1015.082
-0.934704,28,11.111,93.0,100.0,150.0,9.26,12.964,100.0,1.058,0.0,11.179,92.492,0.712,1.405,103.0,0.0,0.0,1014.689
-0.934704,29,11.111,96.0,100.0,150.0,9.26,14.816,100.0,1.058,0.0,10.962,95.542,0.164,0.458,106.0,0.0,1.32,1014.913
-0.934704,30,11.111,96.0,100.0,150.0,9.26,14.816,100.0,1.058,0.0,10.889,97.0,0.121,0.367,110.0,0.0,0.336,1014.762
-0.934704,31,11.667,96.0,100.0,160.0,11.112,16.668,100.0,1.058,0.0,10.957,97.712,0.036,0.153,96.0,0.0,0.0,1013.881
-0.934704,32,12.222,96.0,100.0,170.0,11.112,18.52,100.0,1.058,0.0,11.096,98.0,0.055,0.092,58.0,0.0,1.249,1013.046
-0.934704,33,12.778,96.0,100.0,180.0,12.964,20.372,100.0,1.27,0.0,11.265,98.0,0.107,0.3,83.0,0.0,3.44,1012.25
-0.934704,34,13.333,96.0,100.0,180.0,14.816,22.224,100.0,1.27,0.0,,,,,,,,
-0.934704,35,13.333,100.0,100.0,180.0,16.668,24.076,100.0,1.27,0.0,,,,,,,,
-0.934704,36,13.889,96.0,100.0,180.0,16.668,25.928,100.0,1.27,0.0,,,,,,,,
-0.934704,37,13.889,96.0,100.0,180.0,16.668,27.78,100.0,1.27,0.0,,,,,,,,
-0.934704,38,14.444,96.0,100.0,180.0,16.668,27.78,100.0,1.27,0.0,,,,,,,,
-0.934704,39,14.444,100.0,100.0,180.0,18.52,27.78,100.0,1.693,0.0,,,,,,,,
-0.934704,40,15.0,100.0,100.0,180.0,18.52,29.632,100.0,1.693,0.0,,,,,,,,
-0.934704,41,16.111,97.0,100.0,180.0,20.372,31.484,100.0,1.693,0.0,,,,,,,,
-0.934704,42,16.111,97.0,100.0,180.0,22.224,33.336,100.0,1.693,0.0,,,,,,,,
-0.934704,43,16.111,97.0,100.0,180.0,22.224,35.188,100.0,1.693,0.0,,,,,,,,
-0.934704,44,16.111,97.0,100.0,180.0,22.224,37.04,100.0,1.693,0.0,,,,,,,,
-0.934704,45,16.111,97.0,100.0,180.0,22.224,38.892,100.0,4.064,0.0,,,,,,,,
-0.934704,46,16.111,97.0,100.0,190.0,22.224,40.744,100.0,4.064,0.0,,,,,,,,
-0.934704,47,15.556,100.0,100.0,190.0,22.224,40.744,100.0,4.064,0.0,,,,,,,,
-0.934958,0,8.333,96.0,88.0,220.0,11.112,20.372,55.0,0.423,0.0,,,,,,,,
-0.934958,1,7.778,96.0,84.0,220.0,9.26,18.52,34.0,0.423,0.0,,,,,,,,
-0.934958,2,7.778,100.0,77.0,220.0,7.408,14.816,13.0,0.0,0.0,6.903,94.083,0.0,0.0,169.0,0.0,0.0,1013.515
-0.934958,3,8.333,96.0,78.0,230.0,7.408,14.816,12.0,0.0,0.0,5.886,95.288,0.0,0.0,169.0,0.0,0.0,1014.255
-0.934958,4,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,5.008,96.0,0.0,0.0,169.0,0.0,0.0,1014.93
-0.934958,5,8.333,96.0,79.0,230.0,5.556,11.112,11.0,0.0,0.0,4.606,96.424,0.0,0.0,169.0,0.0,0.0,1015.323
-0.934958,6,8.333,96.0,79.0,220.0,5.556,11.112,9.0,0.0,0.0,4.976,97.0,0.0,0.0,169.0,0.0,0.0,1015.273
-0.934958,7,7.778,100.0,81.0,220.0,5.556,12.964,8.0,0.0,0.0,4.483,97.0,0.0,0.0,169.0,0.0,0.0,1015.385
-0.934958,8,7.778,96.0,85.0,210.0,5.556,12.964,6.0,0.0,0.0,4.18,97.0,0.006,0.031,118.0,0.0,0.0,1015.801
-0.934958,9,7.222,100.0,85.0,220.0,5.556,11.112,6.0,0.0,0.0,4.04,97.0,0.0,0.0,100.0,0.0,0.0,1016.017
-0.934958,10,7.222,100.0,88.0,210.0,3.704,7.408,6.0,0.0,0.0,4.886,97.39,0.0,0.0,98.0,0.0,0.0,1016.296
-0.934958,11,7.222,100.0,89.0,200.0,3.704,5.556,6.0,0.0,0.0,5.49,97.966,0.012,0.061,95.0,0.0,0.0,1016.556
-0.934958,12,7.222,96.0,88.0,170.0,3.704,5.556,8.0,0.0,0.0,6.35,98.0,0.0,0.0,87.0,0.0,0.0,1016.194
-0.934958,13,6.667,100.0,87.0,140.0,3.704,5.556,10.0,0.0,0.0,6.547,98.0,0.006,0.031,87.0,0.0,0.0,1016.355
-0.934958,14,7.222,96.0,88.0,130.0,3.704,7.408,11.0,0.0,0.0,6.858,98.0,0.025,0.061,60.0,0.0,0.0,1017.023
-0.934958,15,7.778,96.0,88.0,110.0,3.704,7.408,11.0,0.0,0.0,6.889,98.0,0.006,0.031,47.0,0.0,0.275,1017.603
-0.934958,16,8.333,93.0,88.0,120.0,5.556,9.26,11.0,0.0,0.0,7.011,98.0,0.012,0.061,67.0,0.0,0.031,1018.26
-0.934958,17,8.889,93.0,88.0,130.0,5.556,11.112,11.0,0.0,0.0,7.525,98.0,0.036,0.092,69.0,0.0,0.0,1018.747
-0.934958,18,10.0,89.0,87.0,130.0,7.408,12.964,17.0,0.0,0.0,8.454,98.0,0.298,0.519,98.0,0.186,0.0,1018.869
-0.934958,19,10.556,86.0,84.0,130.0,7.408,14.816,24.0,0.0,0.0,9.464,97.983,0.298,0.58,64.0,0.339,0.0,1018.176
-0.934958,20,11.667,83.0,83.0,140.0,9.26,16.668,30.0,0.085,0.0,9.679,96.407,0.176,0.55,62.0,0.017,0.0,1017.385
-0.934958,21,12.222,80.0,80.0,140.0,9.26,16.668,35.0,0.085,0.0,10.222,94.831,0.28,0.733,69.0,0.0,0.0,1016.742
-0.934958,22,12.222,80.0,77.0,140.0,9.26,16.668,40.0,0.085,0.0,10.894,92.508,0.401,0.825,54.0,0.0,0.0,1016.314
-0.934958,23,12.222,83.0,81.0,140.0,9.26,16.668,45.0,0.085,0.0,11.379,91.237,0.103,0.275,23.0,0.0,0.0,1015.859
-0.934958,24,11.667,86.0,87.0,150.0,9.26,16.668,54.0,0.085,0.0,11.266,91.644,0.17,0.397,38.0,0.0,0.0,1015.423
-0.934958,25,11.667,89.0,94.0,150.0,9.26,16.668,74.0,0.085,0.0,10.94,91.729,0.316,0.764,62.0,0.0,0.0,1015.474
-0.934958,26,10.556,96.0,100.0,140.0,9.26,12.964,100.0,1.058,0.0,11.5,89.169,1.414,2.554,121.0,0.0,0.0,1015.082
-0.934958,27,11.111,93.0,100.0,150.0,9.26,12.964,100.0,1.058,0.0,11.179,92.492,0.712,1.405,103.0,0.0,0.0,1014.689
-0.934958,28,11.111,96.0,100.0,150.0,9.26,14.816,100.0,1.058,0.0,10.962,95.542,0.164,0.458,106.0,0.0,1.32,1014.913
-0.934958,29,11.111,96.0,100.0,150.0,9.26,14.816,100.0,1.058,0.0,10.889,97.0,0.121,0.367,110.0,0.0,0.336,1014.762
-0.934958,30,11.667,96.0,100.0,160.0,11.112,16.668,100.0,1.058,0.0,10.957,97.712,0.036,0.153,96.0,0.0,0.0,1013.881
-0.934958,31,12.222,96.0,100.0,170.0,11.112,18.52,100.0,1.058,0.0,11.096,98.0,0.055,0.092,58.0,0.0,1.249,1013.046
-0.934958,32,12.778,96.0,100.0,180.0,12.964,20.372,100.0,1.27,0.0,11.265,98.0,0.107,0.3,83.0,0.0,3.44,1012.25
-0.934958,33,13.333,96.0,100.0,180.0,14.816,22.224,100.0,1.27,0.0,,,,,,,,
-0.934958,34,13.333,100.0,100.0,180.0,16.668,24.076,100.0,1.27,0.0,,,,,,,,
-0.934958,35,13.889,96.0,100.0,180.0,16.668,25.928,100.0,1.27,0.0,,,,,,,,
-0.934958,36,13.889,96.0,100.0,180.0,16.668,27.78,100.0,1.27,0.0,,,,,,,,
-0.934958,37,14.444,96.0,100.0,180.0,16.668,27.78,100.0,1.27,0.0,,,,,,,,
-0.934958,38,14.444,100.0,100.0,180.0,18.52,27.78,100.0,1.693,0.0,,,,,,,,
-0.934958,39,15.0,100.0,100.0,180.0,18.52,29.632,100.0,1.693,0.0,,,,,,,,
-0.934958,40,16.111,97.0,100.0,180.0,20.372,31.484,100.0,1.693,0.0,,,,,,,,
-0.934958,41,16.111,97.0,100.0,180.0,22.224,33.336,100.0,1.693,0.0,,,,,,,,
-0.934958,42,16.111,97.0,100.0,180.0,22.224,35.188,100.0,1.693,0.0,,,,,,,,
-0.934958,43,16.111,97.0,100.0,180.0,22.224,37.04,100.0,1.693,0.0,,,,,,,,
-0.934958,44,16.111,97.0,100.0,180.0,22.224,38.892,100.0,4.064,0.0,,,,,,,,
-0.934958,45,16.111,97.0,100.0,190.0,22.224,40.744,100.0,4.064,0.0,,,,,,,,
-0.934958,46,15.556,100.0,100.0,190.0,22.224,40.744,100.0,4.064,0.0,,,,,,,,
-0.934958,47,15.0,96.0,100.0,210.0,20.372,40.744,91.0,4.064,0.0,,,,,,,,
