DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.985301,0,0.556,96.0,100.0,0.0,12.964,22.224,100.0,0.212,0.423,0.451,94.678,0.505,1.039,343.0,0.0,0.0,1013.303
-0.985301,1,0.556,96.0,100.0,0.0,11.112,22.224,97.0,0.212,0.423,0.232,95.0,0.737,1.344,319.0,0.0,0.0,1013.425
-0.985301,2,0.0,100.0,100.0,350.0,11.112,20.372,84.0,0.212,0.423,0.107,95.0,0.176,0.489,315.0,0.0,0.0,1013.318
-0.985301,3,0.0,100.0,100.0,340.0,11.112,20.372,92.0,0.212,0.423,0.006,95.271,0.268,0.58,315.0,0.0,0.0,1013.34
-0.985301,4,0.556,92.0,100.0,340.0,11.112,20.372,91.0,0.212,0.423,-0.002,95.983,0.176,0.489,326.0,0.0,0.0,1013.203
-0.985301,5,0.556,92.0,100.0,330.0,11.112,20.372,63.0,0.169,2.54,0.0,96.0,0.097,0.275,318.0,0.0,0.0,1012.845
-0.985301,6,0.556,89.0,100.0,330.0,11.112,20.372,61.0,0.169,2.54,0.0,96.0,0.012,0.061,322.0,0.0,0.0,1012.345
-0.985301,7,0.0,92.0,100.0,330.0,11.112,22.224,60.0,0.169,2.54,0.16,96.0,0.079,0.275,341.0,0.0,0.0,1012.598
-0.985301,8,0.0,92.0,100.0,330.0,11.112,24.076,59.0,0.169,2.54,0.316,95.407,0.158,0.428,328.0,0.0,0.0,1013.022
-0.985301,9,0.0,85.0,100.0,330.0,14.816,27.78,46.0,0.169,2.54,0.325,93.508,0.584,1.191,315.0,0.0,0.0,1013.378
-0.985301,10,0.0,78.0,98.0,330.0,18.52,31.484,31.0,0.169,2.54,0.036,89.085,1.359,2.474,312.0,0.0,0.0,1014.377
-0.985301,11,-0.556,72.0,81.0,330.0,22.224,37.04,18.0,0.0,0.0,-1.162,87.932,0.224,0.672,333.0,0.0,0.0,1016.143
-0.985301,12,-0.556,66.0,54.0,330.0,24.076,38.892,15.0,0.0,0.0,-1.605,83.898,0.834,1.558,314.0,0.0,0.0,1017.548
-0.985301,13,-0.556,63.0,63.0,330.0,27.78,42.596,13.0,0.0,0.0,-2.004,80.898,0.53,1.075,325.0,0.0,0.0,1018.411
-0.985301,14,-0.556,58.0,56.0,330.0,27.78,44.448,9.0,0.0,0.0,-1.319,71.576,2.104,3.457,330.0,0.068,0.0,1019.358
-0.985301,15,-0.556,56.0,56.0,330.0,27.78,44.448,9.0,0.0,0.0,-1.362,72.0,3.93,5.932,284.0,0.068,0.0,1020.203
-0.985301,16,-0.556,56.0,56.0,320.0,31.484,48.152,8.0,0.0,0.0,-1.472,65.254,5.315,8.28,283.0,0.271,0.0,1020.542
-0.985301,17,0.0,51.0,56.0,320.0,33.336,51.856,1.0,0.0,0.0,-1.288,60.729,5.857,8.671,287.0,0.983,0.0,1020.289
-0.985301,18,-0.556,51.0,55.0,320.0,33.336,51.856,1.0,0.0,0.0,-1.312,57.271,5.352,8.067,281.0,0.644,0.0,1020.25
-0.985301,19,-1.111,53.0,54.0,320.0,33.336,51.856,1.0,0.0,0.0,-0.973,54.356,5.139,7.678,283.0,0.61,0.0,1020.463
-0.985301,20,-0.556,49.0,53.0,320.0,29.632,50.004,1.0,0.0,0.0,-1.376,49.847,6.254,9.403,274.0,0.068,0.0,1021.484
-0.985301,21,-1.667,51.0,38.0,320.0,27.78,48.152,1.0,0.0,0.0,-1.673,48.712,4.503,6.757,287.0,0.0,0.0,1022.037
-0.985301,22,-2.778,50.0,24.0,320.0,25.928,44.448,1.0,0.0,0.0,-2.273,52.102,3.508,5.287,289.0,0.0,0.0,1022.627
-0.985301,23,-3.333,52.0,10.0,330.0,20.372,37.04,0.0,0.0,0.0,-2.704,49.322,4.741,7.225,293.0,0.0,0.0,1023.356
-0.985301,24,-3.889,52.0,9.0,330.0,16.668,24.076,0.0,0.0,0.0,-3.312,46.034,3.405,5.335,306.0,0.0,0.0,1023.997
-0.985301,25,-5.0,54.0,8.0,330.0,16.668,22.224,0.0,0.0,0.0,-3.975,47.39,3.52,5.629,314.0,0.0,0.0,1024.757
-0.985301,26,-5.556,57.0,7.0,320.0,16.668,24.076,0.0,0.0,0.0,-4.695,49.831,2.726,4.207,302.0,0.0,0.0,1025.392
-0.985301,27,-6.111,56.0,5.0,320.0,14.816,25.928,0.0,0.0,0.0,-5.171,49.051,3.861,5.852,309.0,0.0,0.0,1026.088
