DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.728028,0,1.111,96.0,97.0,70.0,16.668,22.224,70.0,0.508,0.0,0.778,91.271,0.731,1.35,53.0,0.0,0.559,1023.199
-0.728028,1,1.667,92.0,97.0,70.0,14.816,22.224,75.0,0.508,0.0,0.551,92.746,0.547,1.13,46.0,0.0,0.477,1022.787
-0.728028,2,1.667,92.0,98.0,70.0,14.816,24.076,81.0,0.508,0.0,0.689,94.288,0.774,1.558,34.0,0.0,1.077,1022.066
-0.728028,3,2.222,92.0,96.0,70.0,14.816,20.372,86.0,0.508,0.0,0.968,95.322,0.462,1.038,51.0,0.0,1.281,1021.381
-0.728028,4,2.222,92.0,96.0,70.0,14.816,20.372,86.0,0.508,0.0,1.183,96.0,0.267,0.733,60.0,0.0,1.575,1020.61
-0.728028,5,2.778,92.0,97.0,70.0,12.964,20.372,84.0,0.889,0.0,1.425,96.847,0.024,0.122,83.0,0.0,1.433,1019.663
-0.728028,6,2.778,96.0,97.0,70.0,12.964,18.52,87.0,0.889,0.0,1.736,97.0,0.012,0.031,49.0,0.0,1.312,1018.871
-0.728028,7,2.778,100.0,98.0,70.0,12.964,16.668,94.0,0.889,0.0,2.078,97.0,0.024,0.122,61.0,0.0,0.69,1017.781
-0.728028,8,3.333,96.0,98.0,70.0,12.964,16.668,95.0,0.889,0.0,2.464,97.61,0.164,0.397,81.0,0.0,0.945,1015.617
-0.728028,9,3.333,100.0,98.0,70.0,11.112,16.668,93.0,0.889,0.0,2.757,98.0,0.176,0.428,31.0,0.0,1.31,1014.998
-0.728028,10,3.889,96.0,98.0,70.0,9.26,11.112,94.0,0.889,0.0,2.772,98.0,0.206,0.489,34.0,0.0,1.505,1014.053
-0.728028,11,3.889,96.0,98.0,90.0,9.26,11.112,73.0,0.296,0.0,2.96,98.0,0.286,0.489,49.0,0.0,0.629,1012.822
-0.728028,12,4.444,96.0,98.0,110.0,7.408,9.26,65.0,0.296,0.0,3.183,98.0,0.061,0.092,85.0,0.0,0.609,1012.027
-0.728028,13,5.0,96.0,98.0,180.0,5.556,11.112,56.0,0.296,0.0,3.423,98.0,0.067,0.183,83.0,0.0,0.528,1010.759
-0.728028,14,5.556,100.0,97.0,220.0,11.112,27.78,38.0,0.296,0.0,3.816,98.0,0.025,0.061,79.0,0.0,0.55,1010.235
-0.728028,15,6.667,93.0,95.0,230.0,12.964,35.188,25.0,0.296,0.0,4.275,98.0,0.682,0.978,115.0,0.051,0.122,1009.866
-0.728028,16,7.222,89.0,93.0,240.0,16.668,38.892,23.0,0.296,0.0,4.869,98.0,2.05,2.871,175.0,0.254,0.0,1009.625
