DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.211549,0,10.556,48.0,82.0,130.0,11.112,24.076,2.0,0.0,0.0,11.95,33.169,1.2,2.047,120.0,0.0,0.0,1014.998
-0.211549,1,9.444,58.0,82.0,130.0,9.26,24.076,3.0,0.0,0.0,10.455,54.051,0.444,0.886,105.0,0.0,0.0,1014.908
-0.211549,2,7.778,73.0,84.0,120.0,9.26,22.224,3.0,0.0,0.0,9.343,69.898,0.401,0.855,99.0,0.0,0.0,1014.573
-0.211549,3,7.778,76.0,84.0,120.0,11.112,22.224,4.0,0.0,0.0,9.134,76.712,0.81,1.466,117.0,0.0,0.0,1013.759
-0.211549,4,7.222,82.0,88.0,120.0,11.112,20.372,5.0,0.0,0.0,8.298,82.356,0.499,1.069,110.0,0.0,0.0,1013.155
-0.211549,5,6.667,86.0,92.0,130.0,9.26,18.52,7.0,0.0,0.0,7.517,87.695,1.463,2.449,129.0,0.0,0.0,1012.376
-0.211549,6,6.667,89.0,91.0,130.0,9.26,16.668,8.0,0.0,0.0,7.299,91.085,1.182,2.016,115.0,0.0,0.0,1011.863
-0.211549,7,6.667,89.0,90.0,130.0,9.26,18.52,9.0,0.0,0.0,7.524,94.136,0.945,1.65,122.0,0.0,0.0,1011.793
-0.211549,8,6.667,89.0,90.0,130.0,11.112,18.52,10.0,0.0,0.0,7.671,95.0,0.968,1.863,125.0,0.0,0.0,1011.784
-0.211549,9,7.222,89.0,90.0,130.0,11.112,20.372,2.0,0.0,0.0,7.826,94.085,1.164,2.016,115.0,0.0,0.0,1011.492
-0.211549,10,7.778,86.0,88.0,130.0,12.964,24.076,2.0,0.0,0.0,7.8,91.458,1.42,2.261,123.0,0.017,0.0,1011.002
-0.211549,11,9.444,80.0,87.0,140.0,14.816,29.632,2.0,0.0,0.0,8.664,86.61,2.03,3.47,123.0,0.966,0.0,1010.249
-0.211549,12,11.667,71.0,80.0,140.0,16.668,33.336,2.0,0.0,0.0,11.022,76.492,2.073,3.354,131.0,2.407,0.0,1009.51
-0.211549,13,14.444,64.0,76.0,150.0,18.52,35.188,2.0,0.0,0.0,12.707,70.169,2.348,3.676,128.0,2.475,0.0,1008.521
-0.211549,14,16.667,56.0,80.0,150.0,18.52,37.04,2.0,0.0,0.0,15.673,59.051,2.752,4.239,131.0,2.915,0.0,1007.255
-0.211549,15,17.778,52.0,73.0,160.0,20.372,40.744,14.0,0.381,0.0,18.074,51.847,2.781,4.428,144.0,3.068,0.0,1005.957
-0.211549,16,18.333,48.0,65.0,160.0,20.372,42.596,13.0,0.381,0.0,18.992,48.102,2.952,4.378,146.0,1.746,0.0,1004.091
-0.211549,17,18.889,47.0,65.0,160.0,22.224,42.596,13.0,0.381,0.0,19.877,42.542,2.862,4.219,133.0,1.508,0.0,1002.211
-0.211549,18,18.333,48.0,77.0,170.0,20.372,42.596,45.0,0.381,0.0,20.942,39.78,2.783,4.208,140.0,2.017,0.0,1000.502
-0.211549,19,16.667,56.0,83.0,170.0,18.52,37.04,68.0,0.381,0.0,21.631,37.169,4.815,7.214,162.0,1.424,0.0,999.564
-0.211549,20,15.556,64.0,89.0,190.0,14.816,27.78,73.0,0.381,0.0,19.642,42.729,3.563,5.116,149.0,0.017,0.0,998.65
-0.211549,21,13.889,75.0,94.0,170.0,11.112,22.224,95.0,1.482,0.0,18.056,49.356,2.153,3.213,140.0,0.0,0.0,997.864
-0.211549,22,13.333,77.0,92.0,190.0,11.112,20.372,95.0,1.482,0.0,15.1,74.305,1.237,1.924,164.0,0.0,4.197,999.121
-0.211549,23,12.778,80.0,88.0,250.0,9.26,24.076,95.0,1.482,0.0,12.574,92.441,1.475,2.332,298.0,0.0,8.691,1000.106
-0.211549,24,11.667,80.0,86.0,300.0,14.816,29.632,68.0,1.482,0.0,10.992,90.136,4.789,7.537,316.0,0.0,3.048,1000.289
-0.211549,25,10.556,83.0,86.0,310.0,20.372,31.484,68.0,1.482,0.0,9.828,88.237,5.816,8.885,297.0,0.0,0.427,1000.564
-0.211549,26,10.0,80.0,88.0,310.0,22.224,38.892,68.0,1.482,0.0,9.003,88.983,3.899,5.86,298.0,0.0,0.609,1001.188
-0.211549,27,8.889,74.0,84.0,300.0,22.224,42.596,34.0,0.212,0.0,8.768,85.847,2.616,4.056,318.0,0.0,0.0,1000.889
-0.211549,28,7.778,71.0,80.0,310.0,27.78,55.56,34.0,0.212,0.0,8.803,82.695,2.806,4.024,286.0,0.0,0.0,1000.662
-0.211549,29,6.667,70.0,74.0,310.0,29.632,57.412,34.0,0.212,0.0,8.492,73.864,5.088,7.47,260.0,0.0,0.0,1000.848
-0.211549,30,5.0,70.0,67.0,310.0,31.484,57.412,24.0,0.212,0.0,7.309,67.017,8.336,12.715,265.0,0.0,0.0,1001.397
