DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.177873,0,6.667,47.0,2.0,270.0,7.408,14.816,0.0,0.0,0.0,5.56,49.559,0.055,0.122,327.0,0.0,0.0,1012.678
-0.177873,1,6.111,51.0,9.0,260.0,5.556,14.816,0.0,0.0,0.0,4.476,57.593,0.03,0.092,328.0,0.0,0.0,1012.512
-0.177873,2,5.0,57.0,19.0,240.0,7.408,12.964,0.0,0.0,0.0,3.77,61.068,0.018,0.092,30.0,0.0,0.0,1012.43
-0.177873,3,5.0,59.0,39.0,240.0,7.408,12.964,0.0,0.0,0.0,3.197,66.966,0.0,0.0,32.0,0.0,0.0,1012.461
-0.177873,4,4.444,62.0,49.0,230.0,5.556,14.816,0.0,0.0,0.0,2.702,68.458,0.0,0.0,32.0,0.0,0.0,1012.653
-0.177873,5,3.889,62.0,61.0,230.0,5.556,14.816,0.0,0.0,0.0,3.546,63.203,0.049,0.122,31.0,0.0,0.0,1012.311
-0.177873,6,3.333,67.0,70.0,230.0,5.556,12.964,0.0,0.0,0.0,2.788,68.305,0.0,0.0,31.0,0.0,0.0,1011.525
-0.177873,7,3.333,67.0,68.0,210.0,5.556,14.816,0.0,0.0,0.0,2.521,71.288,0.146,0.183,47.0,0.0,0.0,1011.14
-0.177873,8,3.333,73.0,56.0,210.0,5.556,16.668,0.0,0.0,0.0,1.823,76.034,0.0,0.0,38.0,0.0,0.0,1010.686
-0.177873,9,4.444,70.0,58.0,210.0,9.26,20.372,0.0,0.0,0.0,1.468,80.288,0.0,0.0,38.0,0.0,0.0,1010.421
-0.177873,10,6.667,53.0,65.0,200.0,12.964,27.78,2.0,0.0,0.0,2.533,79.305,0.018,0.031,38.0,0.017,0.0,1009.937
-0.177873,11,8.889,47.0,73.0,210.0,14.816,31.484,3.0,0.0,0.0,7.428,62.102,1.212,1.833,151.0,0.983,0.0,1009.017
-0.177873,12,11.667,41.0,75.0,210.0,16.668,35.188,5.0,0.0,0.0,10.405,51.034,2.41,3.335,162.0,2.22,0.0,1008.325
-0.177873,13,12.778,40.0,70.0,230.0,20.372,37.04,8.0,0.0,0.0,11.98,45.712,3.588,4.768,181.0,2.305,0.0,1007.708
-0.177873,14,14.444,36.0,73.0,240.0,24.076,40.744,11.0,0.0,0.0,13.86,39.441,4.284,5.672,183.0,3.966,0.0,1006.761
-0.177873,15,15.556,35.0,76.0,250.0,25.928,44.448,13.0,0.0,0.0,16.168,32.847,7.183,10.013,231.0,3.695,0.0,1006.219
-0.177873,16,15.556,35.0,71.0,250.0,25.928,46.3,11.0,0.0,0.0,15.771,35.525,7.352,10.86,244.0,3.729,0.0,1005.944
-0.177873,17,16.111,32.0,64.0,260.0,27.78,48.152,10.0,0.0,0.0,16.671,33.288,7.005,9.939,236.0,2.831,0.0,1005.217
-0.177873,18,16.111,32.0,55.0,270.0,25.928,48.152,8.0,0.0,0.0,16.68,32.949,9.634,13.508,233.0,1.847,0.0,1005.365
-0.177873,19,14.444,36.0,45.0,280.0,25.928,50.004,9.0,0.0,0.0,15.716,37.898,9.609,14.32,250.0,0.39,0.0,1006.251
-0.177873,20,12.778,40.0,34.0,280.0,24.076,48.152,10.0,0.0,0.0,15.073,40.983,8.604,12.197,247.0,0.136,0.0,1007.221
-0.177873,21,11.111,44.0,25.0,290.0,24.076,38.892,1.0,0.0,0.0,13.965,44.593,7.683,11.355,247.0,0.0,0.0,1008.373
-0.177873,22,9.444,48.0,10.0,290.0,24.076,40.744,1.0,0.0,0.0,11.941,53.644,8.616,13.031,249.0,0.0,0.0,1010.385
-0.177873,23,7.222,49.0,6.0,300.0,24.076,40.744,1.0,0.0,0.0,10.323,46.729,10.44,15.26,254.0,0.0,0.0,1012.277
-0.177873,24,6.111,47.0,5.0,300.0,24.076,40.744,1.0,0.0,0.0,8.99,47.271,5.985,8.744,268.0,0.0,0.0,1013.265
-0.177873,25,3.889,48.0,3.0,300.0,22.224,40.744,1.0,0.0,0.0,7.487,47.763,4.058,6.286,295.0,0.0,0.0,1014.302
-0.177873,26,2.778,50.0,4.0,310.0,20.372,42.596,1.0,0.0,0.0,6.554,47.657,4.411,6.277,270.0,0.0,0.0,1014.625
-0.177873,27,1.667,49.0,5.0,310.0,20.372,40.744,0.0,0.0,0.0,,,,,,,,
-0.177873,28,1.111,49.0,6.0,310.0,18.52,37.04,0.0,0.0,0.0,,,,,,,,
-0.177873,29,0.0,51.0,8.0,310.0,18.52,37.04,0.0,0.0,0.0,,,,,,,,
-0.177873,30,-0.556,51.0,9.0,300.0,16.668,31.484,0.0,0.0,0.0,,,,,,,,
-0.177873,31,-1.111,53.0,9.0,300.0,16.668,29.632,0.0,0.0,0.0,,,,,,,,
-0.177873,32,-1.111,51.0,8.0,310.0,14.816,25.928,0.0,0.0,0.0,,,,,,,,
-0.177873,33,-1.667,53.0,8.0,310.0,14.816,24.076,0.0,0.0,0.0,,,,,,,,
-0.177873,34,0.0,47.0,14.0,310.0,12.964,24.076,0.0,0.0,0.0,,,,,,,,
-0.177873,35,1.667,41.0,19.0,310.0,12.964,22.224,0.0,0.0,0.0,,,,,,,,
-0.177873,36,3.333,37.0,25.0,310.0,12.964,20.372,0.0,0.0,0.0,,,,,,,,
-0.177873,37,5.0,34.0,34.0,310.0,11.112,18.52,0.0,0.0,0.0,,,,,,,,
-0.177873,38,6.111,32.0,42.0,300.0,11.112,18.52,0.0,0.0,0.0,,,,,,,,
-0.177873,39,7.778,29.0,51.0,290.0,11.112,16.668,0.0,0.0,0.0,,,,,,,,
-0.177873,40,8.333,28.0,52.0,280.0,9.26,14.816,0.0,0.0,0.0,,,,,,,,
-0.177873,41,9.444,28.0,53.0,270.0,9.26,14.816,0.0,0.0,0.0,,,,,,,,
-0.177873,42,10.0,27.0,54.0,250.0,9.26,12.964,0.0,0.0,0.0,,,,,,,,
-0.177873,43,8.889,30.0,61.0,240.0,7.408,11.112,0.0,0.0,0.0,,,,,,,,
-0.177873,44,8.333,34.0,69.0,210.0,5.556,9.26,0.0,0.0,0.0,,,,,,,,
-0.177873,45,7.222,38.0,76.0,180.0,5.556,9.26,25.0,0.339,0.0,,,,,,,,
-0.177873,46,6.111,45.0,78.0,170.0,7.408,9.26,25.0,0.339,0.0,,,,,,,,
