DOY CYCLE,FCST AHEAD,FCST TEMP,FCST RH,FCST SKYC,FCST WDIR,FCST WSPD,FCST WGST,FCST PPCT,FCST PRCP,FCST SNOW,WX TEMP,WX RH,WX WSPD,WX WGST,WX WDIR,WX UV,WX PRCP,WX RELP
-0.894487,0,0.556,62.0,5.0,290.0,12.964,20.372,1.0,0.0,0.0,1.246,56.017,0.572,1.161,260.0,0.0,0.0,1023.585
-0.894487,1,0.0,65.0,2.0,290.0,12.964,20.372,0.0,0.0,0.0,0.601,58.017,0.651,1.253,273.0,0.0,0.0,1023.837
-0.894487,2,-0.556,67.0,1.0,290.0,11.112,18.52,0.0,0.0,0.0,-0.043,59.915,0.115,0.306,297.0,0.0,0.0,1024.067
-0.894487,3,-1.111,70.0,1.0,290.0,11.112,18.52,0.0,0.0,0.0,-0.155,60.102,0.7,1.283,286.0,0.0,0.0,1024.213
-0.894487,4,-1.667,75.0,1.0,290.0,9.26,16.668,0.0,0.0,0.0,-0.627,60.78,0.402,0.642,272.0,0.0,0.0,1024.114
-0.894487,5,-2.222,78.0,3.0,280.0,9.26,12.964,0.0,0.0,0.0,-1.527,64.017,0.024,0.061,29.0,0.0,0.0,1024.103
-0.894487,6,-2.778,81.0,1.0,280.0,9.26,12.964,0.0,0.0,0.0,-1.896,64.712,0.018,0.092,24.0,0.0,0.0,1023.861
-0.894487,7,-2.778,81.0,1.0,280.0,7.408,12.964,0.0,0.0,0.0,-2.844,68.729,0.0,0.0,26.0,0.0,0.0,1023.936
-0.894487,8,-2.778,79.0,2.0,280.0,7.408,12.964,1.0,0.0,0.0,-3.969,75.492,0.0,0.0,26.0,0.0,0.0,1024.064
-0.894487,9,-3.333,79.0,6.0,260.0,7.408,11.112,1.0,0.0,0.0,-4.002,75.153,0.037,0.092,19.0,0.0,0.0,1023.671
-0.894487,10,-3.889,81.0,8.0,250.0,5.556,9.26,1.0,0.0,0.0,-3.353,69.915,0.243,0.519,288.0,0.0,0.0,1023.537
-0.894487,11,-3.889,78.0,23.0,240.0,7.408,11.112,3.0,0.0,0.0,-4.402,75.525,0.0,0.0,285.0,0.0,0.0,1023.582
-0.894487,12,-1.667,69.0,33.0,230.0,7.408,12.964,3.0,0.0,0.0,-5.222,81.814,0.0,0.0,285.0,0.0,0.0,1023.315
-0.894487,13,0.0,61.0,45.0,230.0,9.26,16.668,3.0,0.0,0.0,-4.461,78.61,0.067,0.153,288.0,0.0,0.0,1023.055
-0.894487,14,1.111,56.0,61.0,220.0,11.112,20.372,3.0,0.0,0.0,-0.705,62.424,1.353,2.138,182.0,0.39,0.0,1022.822
-0.894487,15,2.222,50.0,78.0,210.0,12.964,25.928,7.0,0.0,0.0,0.346,61.288,2.031,2.993,175.0,1.034,0.0,1022.316
-0.894487,16,3.333,46.0,88.0,200.0,16.668,31.484,9.0,0.0,0.0,1.409,60.051,3.43,4.864,172.0,1.254,0.0,1020.811
-0.894487,17,3.889,42.0,92.0,200.0,18.52,37.04,5.0,0.0,0.0,2.805,54.102,5.103,7.469,177.0,1.864,0.0,1019.14
-0.894487,18,5.0,39.0,80.0,200.0,20.372,38.892,5.0,0.0,0.0,3.226,50.169,5.698,8.469,179.0,1.102,0.0,1017.236
-0.894487,19,5.0,41.0,74.0,190.0,20.372,40.744,3.0,0.0,0.0,3.469,48.763,5.791,8.494,175.0,0.678,0.0,1015.648
-0.894487,20,5.0,41.0,74.0,190.0,20.372,40.744,7.0,0.0,0.0,3.542,49.254,4.979,7.061,179.0,0.051,0.0,1014.354
-0.894487,21,5.0,41.0,75.0,190.0,20.372,40.744,9.0,0.0,0.0,3.719,49.186,2.957,4.489,166.0,0.0,0.0,1013.436
-0.894487,22,4.444,48.0,81.0,190.0,22.224,38.892,13.0,0.0,0.0,3.962,49.61,3.502,5.183,165.0,0.0,0.0,1011.95
-0.894487,23,3.889,50.0,82.0,190.0,22.224,42.596,17.0,0.0,0.0,4.07,49.898,5.741,8.354,169.0,0.0,0.0,1010.569
-0.894487,24,3.889,50.0,90.0,200.0,24.076,42.596,17.0,0.0,0.0,4.166,51.678,4.668,6.988,176.0,0.0,0.0,1009.621
-0.894487,25,3.889,52.0,86.0,200.0,24.076,44.448,17.0,0.0,0.0,3.876,57.322,4.693,7.134,174.0,0.0,0.0,1008.394
-0.894487,26,3.889,54.0,86.0,200.0,25.928,46.3,32.0,0.0,0.0,4.363,53.763,5.395,8.098,172.0,0.0,0.0,1007.221
-0.894487,27,3.889,59.0,85.0,210.0,24.076,48.152,32.0,0.0,0.0,4.046,57.729,3.117,4.494,172.0,0.0,0.0,1006.076
-0.894487,28,3.889,62.0,88.0,210.0,25.928,51.856,32.0,0.0,0.0,4.39,60.627,5.863,8.39,193.0,0.0,0.0,1005.527
